,EEG Filename,Video Filename,Dataset,Test Number,Condition,DST (out of 21) # of Correct Answers,BT (out of 4) # of Correct Answers,1st Mental Fatigue,1st Stress,ST # of Correct Answers,PST # of Correct Answers,VMT (out of 22) # of Correct Answers,2nd Mental Fatigue,2nd Stress,Overall ,Accuracy,Start Time,Timepoints for Incorrect Answers,Duration,ST out of (Total trials),PST out of (Total trials),DST (7) [Longest sequence correct],VMT (7) [Longest sequence correct],Overall (vary),Accuracy,Person in Charge,Completed
12,,,,,Bar,18,4,3,1,22,3,21,1,1,68,0.918918919,"DST: 24:49
BT: 25:54
ST: 41:36
PST: 42:13
VMT: 42:34","DST: 25:35, 25:39, 25:44, 25:45, 25:47
BT:
ST:
PST: 42:18
VMT: 43:03","DST: 58
BT: 24
ST: 26
PST: 15
VMT: 33",22,4,5,7,41,0.931818182,Elita,Completed
13,,subject13 - Desktop 2018.08.08 - 13.42.44.01,,,One,22,4,3,4,26,2,21,6,2,75,0.974025974,"DST: 13:20
BT: 14:20
ST 36:57
PST: 37:34
VMT: 37:57","DST: 
BT: 
ST: 
PST: 37:47
VMT: 38:15","DST: 54
BT: 24
ST: 26
PST: 15
VMT: 28",26,3,7,7,46,0.978723404,Nina,Completed
13,,,,,Two,19,3,3,3,24,3,22,2,2,71,0.946666667,"DST: 17:23
BT: 18:27
ST: 40:37
PST: 41:14
VMT: 41:38","DST: 18:11, 18:16, 18:17
BT: 18:29
ST: 
PST: 
VMT: ","DST: 18:11, 18:16, 18:17
BT: 18:29
ST: 
PST: 
VMT: ",24,3,5,7,42,0.933333333,Nina,Completed
13,,,,,Blue,20,4,4,3,21,1,21,7,2,67,0.957142857,"DST: 19:20
BT: 20:21
ST: 35:05
PST: 35:45
VMT: 36:09","DST: 20:05, 20:13
BT: 
ST: 
PST: 
VMT: 36:15","DST: 205, 213
BT: 
ST: 
PST: 
VMT: 36:15",21,1,5,7,38,0.95,Nina,Completed
13,,,,,Red,20,4,4,4,16,5,22,4,3,67,0.930555556,"DST: 15:18
BT: 16:19
ST: 46:07
PST: 46:45
VMT: 47:07","DST: 16:06, 16:11
BT: 
ST: 46:18, 46:19, 46:33
PST: 
VMT: ","DST: 0:16:06, 0:16:11
BT: 
ST: 0:46:18, 0:46:19, 0:46:33
PST: 
VMT: ",19,5,6,7,38,0.904761905,Nina,Completed
13,,,,,Teach,21,4,4,3,27,3,22,8,3,77,0.987179487,"DST: 21:31
BT: 22:31
ST 42:27
PST: 43:04
VMT: 43:27","DST: 22:17
BT: 
ST: 
PST: 
VMT: ","DST: 0:22:17
BT: 
ST: 
PST: 
VMT: ",27,3,7,7,48,1,Nina,Completed
13,,,,,Narrow,22,4,3,5,21,4,22,2,2,73,0.973333333,"DST: 10:54
BT: 11:54
ST 44:13
PST: 44:50
VMT: 45:13","DST: 
BT: 
ST: 0:44:25,  
PST: 
VMT: ","DST: 
BT: 
ST: 0:44:25,  
PST: 
VMT: ",23,4,7,7,43,0.955555556,Nina,Completed
13,,,,,Green,17,4,6,2,6,3,22,6,3,52,0.881355932,"DST: 26:02
BT: 27:02
ST 31:15
PST: 32:04
VMT: 32:27","DST: 26:35, 26:36, 26:37, 26:38, 26:48
BT: 
ST: 31:27, 31:39
PST: 
VMT: ","DST: 0:26:35, 0:26:36, 0:26:37, 0:26:38, 0:26:48
BT: 
ST: 0:31:27, 0:31:39
PST: 
VMT: ",8,3,7,7,27,0.931034483,Nina,Completed
13,,,,,Wide,21,4,5,3,26,2,22,4,3,75,0.974025974,"DST: 23:58
BT: 25:03
ST: 38:52
PST: 39:29
VMT: 39:52","DST: 24:43
BT: 
ST: 
PST: 39:38
VMT:","DST: 0:24:43
BT: 
ST: 
PST: 0:39:38
VMT ",26,3,7,7,46,0.978723404,Nina,Completed
13,,,,,Bar,18,4,5,2,21,2,22,2,2,67,0.943661972,"DST: 28:05
BT: 29:11
ST 33:25
PST: 34:01
VMT: 34:24","DST: 28:39, 28:41, 28:53, 29:01
BT: 
ST: 
PST: 
VMT: ","DST: 0:28:39, 0:28:41, 0:28:53, 0:29:01
BT: 
ST: 
PST: 
VMT: ",21,2,5,7,39,0.951219512,Nina,Completed
